,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
789,HH18230068,HS2308000054,1,1,1,1,6,1,4,75.9,3,1,1,16,4,3,3,4,3,1,5,5802.42
790,HH18230035,HS2308000055,1,1,2,0,3,3,6,105.6,3,1,2,20,1,3,4,4,2,1,6,10946.379044
791,HH11230001,HS2331000001,1,1,1,1,6,1,4,102.3,4,1,2,14,4,3,5,5,2,1,3,11772.54
792,HH11230003,HS2331000003,1,1,1,1,4,4,3,118.8,4,1,2,9,4,1,3,3,2,1,3,13848.636089
793,HH12230001,HS2331000004,1,1,1,1,6,1,1,125.4,4,1,1,5,2,1,3,4,3,4,3,11383.4
794,HH11230005,HS2331000006,1,1,1,1,6,1,3,85.8,3,1,1,14,4,1,5,2,3,4,5,12420.12
795,HH18230004,HS2331000026,1,1,1,1,6,2,1,112.2,3,1,1,14,2,3,3,1,3,5,1,7153.12
796,HH18230011,HS2331000027,1,1,1,1,6,3,1,49.5,1,1,1,2,2,1,3,1,3,4,1,8449.2
797,HH18230067,HS2331000028,1,1,2,1,3,3,5,92.4,3,1,1,20,1,3,5,5,2,1,6,17736.558635
798,HH18240004,HS2401000018,3,1,1,1,6,1,3,184.8,3,1,2,10,5,1,5,2,2,1,5,10640.86
799,HH18240012,HS2401000019,3,1,1,1,4,1,3,214.5,5,1,1,22,1,2,5,2,3,1,6,22831.048818
800,HH11240020,HS2402000001,3,1,3,11,4,3,4,102.3,3,1,2,8,1,3,4,4,2,1,3,7523.07
801,HH11240022,HS2402000003,3,1,3,5,4,3,4,102.3,3,1,2,8,1,1,4,4,2,1,4,16721.756696
802,HH11240023,HS2402000004,3,1,3,6,4,3,4,102.3,3,1,2,8,1,3,4,4,2,1,4,6878.44
803,HH12240032,HS2402000006,3,1,3,1,5,3,4,102.3,3,1,2,13,1,3,4,5,2,1,5,6022.2460424
804,HH12240033,HS2402000007,3,1,3,6,4,3,4,102.3,3,1,2,12,1,3,4,2,3,1,3,14744.01
805,HH12240034,HS2402000009,3,1,3,11,3,2,3,102.3,4,1,1,11,1,1,4,1,3,5,1,4985.0833699
806,HH11240026,HS2402000010,3,1,3,4,2,2,3,102.3,4,1,1,11,1,3,4,2,3,5,2,7030.154879
807,HH11240028,HS2402000013,3,1,3,11,4,1,4,105.6,3,1,2,8,1,1,4,4,2,5,3,12082.540824
