cv_num,RMSE,MAE,MAPE
cv_1,5224.064453,3504.102539,35.91708
cv_2,5520.48584,3632.305908,38.098667
cv_3,4928.05957,3178.45752,31.206774
cv_4,4744.074219,3545.73999,37.808945
cv_5,5103.217773,3611.687744,43.784073
cv_6,4645.21582,3269.716797,41.408829
cv_7,4531.429688,3308.95874,35.57542
cv_8,4605.632324,3447.865723,38.523121
cv_9,4349.909668,3170.369385,33.940872
cv_10,4609.505371,3265.418457,37.254368
