,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
806,HS2401000007,HH12240024,3,1,2,2,5,1,5,75.89999999999999,3,1,1,6,1,3,3,1,5,1595.64,67,25000000
807,HS2401000008,HH14240002,3,1,2,3,4,4,6,42.9,1,0,1,2,1,2,4,1,1,2233.2658463,25,25000000
808,HS2402000001,HH11240020,3,1,3,11,4,3,4,102.3,3,1,2,8,1,3,4,3,1,13487.53,45,54000000
809,HS2402000002,HH11240021,3,1,3,2,4,3,4,102.3,3,1,2,8,1,3,4,2,5,15363.66,67,54000000
810,HS2402000003,HH11240022,3,1,3,5,4,3,4,102.3,3,1,2,8,1,1,4,2,1,13755.28,45,54000000
811,HS2402000004,HH11240023,3,1,3,6,4,3,4,102.3,3,1,2,8,1,3,4,3,1,14621.96,45,54000000
812,HS2402000005,HH11240024,3,1,3,6,4,3,4,102.3,3,1,2,8,1,3,4,2,1,13401.45,67,42000000
813,HS2402000006,HH12240032,3,1,3,1,5,3,4,102.3,3,1,2,13,1,3,4,4,1,13786.17,35,66000000
814,HS2402000007,HH12240033,3,1,3,6,4,3,4,102.3,3,1,2,12,1,1,4,2,1,13265.02,45,54000000
815,HS2402000008,HH11240025,3,1,3,10,4,2,3,102.3,4,1,2,7,1,3,4,2,5,8378.874096,45,42000000
816,HS2402000009,HH12240034,3,1,3,11,4,2,3,102.3,4,1,2,13,1,1,4,2,3,6687.5,67,12000000
817,HS2402000010,HH11240026,3,1,3,4,4,2,3,102.3,4,1,2,7,1,3,4,2,3,12929.8,67,18000000
818,HS2402000011,HH12240035,3,1,3,6,4,2,3,102.3,4,1,2,10,1,1,4,3,3,12528.1,55,42000000
819,HS2402000012,HH11240027,3,1,3,10,4,1,4,105.6,3,1,2,8,1,3,4,2,3,10348.98,55,42000000
820,HS2402000013,HH11240028,3,1,3,11,4,1,4,105.6,3,1,2,8,1,1,4,4,3,14038.18,55,42000000
821,HS2402000014,HH11240029,3,1,3,14,4,1,4,105.6,3,1,2,8,1,1,4,4,1,13285.68,55,42000000
822,HS2402000015,HH11240030,3,1,3,18,4,1,4,105.6,3,1,2,8,1,1,4,4,1,13131.41,45,42000000
823,HS2402000016,HH11240031,3,1,3,19,4,1,4,105.6,3,1,2,8,1,3,4,3,1,13227.02,45,25000000
824,HS2402000017,HH15240021,3,1,3,15,4,3,4,105.6,3,1,1,8,1,1,4,4,3,9223.6176216,55,54000000
825,HS2402000018,HH14240006,3,1,3,3,4,1,3,105.6,3,1,2,16,1,3,4,3,2,14340.1,67,25000000
826,HS2402000019,HH15240022,3,1,1,1,5,2,3,66.0,2,1,1,4,1,1,4,2,5,10990.1,67,12000000
827,HS2402000020,HH15240023,3,1,1,2,4,1,5,82.5,2,1,1,12,2,3,3,4,1,12110.79,55,90000000
828,HS2402000021,HH11240032,3,1,1,3,4,1,5,82.5,2,1,1,12,2,3,3,4,1,13705.88,55,18000000
829,HS2402000022,HH15240024,3,1,1,3,4,1,5,79.19999999999999,2,1,1,8,2,3,3,3,1,9879.64,45,18000000
830,HS2402000023,HH16240011,3,1,3,15,5,2,5,59.4,2,0,1,4,1,3,4,3,1,4538.9,25,25000000
831,HS2402000024,HH12240036,3,1,3,10,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,10289.73,45,25000000
832,HS2402000025,HH11240033,3,1,3,14,4,2,5,79.19999999999999,3,1,1,7,1,1,4,1,1,7867.90315,35,42000000
833,HS2402000026,HH11240034,3,1,3,4,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,10146.29,35,42000000
834,HS2402000027,HH11240035,3,1,3,6,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,13354.65,45,25000000
835,HS2402000028,HH12240037,3,1,3,7,4,2,5,79.19999999999999,3,1,1,7,1,1,4,2,3,10247.37,55,25000000
836,HS2402000029,HH13240007,3,1,3,8,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,13647.13,55,42000000
837,HS2403000001,HH16240003,3,1,1,2,4,2,2,36.3,2,1,1,4,2,1,3,2,2,16893.55,67,25000000
838,HS2403000002,HH15240003,3,1,1,1,5,2,3,59.4,2,1,1,4,1,1,4,3,1,13573.666806,55,42000000
839,HS2403000003,HH15240004,3,1,1,3,4,2,3,19.799999999999997,2,1,1,4,1,3,4,4,1,7451.791394,45,42000000
840,HS2403000004,HH15240005,3,1,1,3,4,2,3,59.4,2,1,1,4,1,1,4,4,1,11804.32,45,54000000
841,HS2403000005,HH15240006,3,1,3,1,4,1,3,105.6,3,1,1,12,1,3,4,4,1,10139.0,67,54000000
842,HS2403000006,HH15240007,3,1,3,1,4,1,3,105.6,3,1,1,12,1,3,4,3,1,16837.69,45,78000000
843,HS2403000007,HH15240008,3,1,3,1,4,1,3,105.6,3,1,1,12,1,1,4,4,1,16462.8,45,54000000
845,HS2403000009,HH15240010,3,1,3,4,4,1,3,42.9,3,1,1,12,1,3,4,3,1,11715.14,45,42000000
846,HS2403000010,HH12240020,3,1,3,8,4,3,5,85.8,3,1,2,8,1,3,4,4,3,17419.997513,67,25000000
847,HS2403000011,HH12240021,3,1,3,9,4,3,5,85.8,3,1,2,6,1,1,4,4,3,13687.312312,67,25000000
848,HS2403000012,HH15240011,3,1,3,3,4,1,4,82.5,3,1,1,11,1,3,4,3,3,21616.778468,55,90000000
849,HS2403000013,HH12240022,3,1,3,9,4,4,4,105.6,3,1,2,7,1,3,4,4,1,13372.561293,55,42000000
850,HS2403000014,HH16240004,3,1,2,1,4,1,4,59.4,2,1,1,4,2,3,3,2,1,17686.1,55,42000000
851,HS2403000015,HH13240004,3,1,1,1,6,1,3,105.6,3,1,1,8,2,3,3,2,2,13274.0,67,42000000
852,HS2403000016,HH13240005,3,1,1,1,6,2,2,99.0,3,1,1,12,2,1,3,2,1,10779.65,55,25000000
854,HS2403000018,HH11240005,3,1,1,1,5,3,4,42.9,2,1,1,12,2,3,3,4,1,13480.24,45,25000000
855,HS2403000019,HH12240023,3,1,1,2,4,2,5,62.699999999999996,2,1,1,3,1,3,4,1,5,14727.933836,67,12000000
856,HS2403000020,HH11240006,3,1,1,1,5,4,2,85.8,3,1,1,8,5,3,3,2,1,18763.95,45,25000000
