,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
2034,HS3637000006,HH11360083,3,2,1,1,6,2,2,89.1,4,1,1,6,5,3,3,2,3,3,2,20296.68
2035,HS3637000007,HH12360028,3,2,1,1,6,3,4,39.599999999999994,1,1,1,4,2,3,3,2,3,3,2,18443.65
2036,HS3637000008,HH13360020,3,2,1,1,6,1,5,82.5,2,1,1,10,2,1,3,2,3,3,2,19542.3
2037,HS3637000009,HH12360029,3,2,1,1,6,3,1,92.39999999999999,3,1,2,6,4,1,3,2,3,3,2,18772.48
2038,HS3637000010,HH11360084,3,2,1,1,6,2,2,42.9,2,1,1,3,5,1,3,4,2,5,2,20390.28
2039,HS3637000011,HH13360021,3,2,1,1,6,3,5,99.0,2,1,1,12,2,1,3,2,3,3,2,18776.28
2040,HS3637000012,HH11360085,3,2,1,1,6,4,1,75.89999999999999,3,1,1,10,4,3,3,2,3,3,2,14692.01
2041,HS3637000013,HH14360016,3,2,1,1,6,1,1,59.4,4,0,1,4,2,3,3,1,3,3,1,16924.7
2042,HS3637000014,HH11360086,3,2,1,1,6,2,1,82.5,3,1,1,8,2,3,3,2,2,1,2,11417.07
2043,HS3637000015,HH11360087,3,2,1,1,6,2,4,75.89999999999999,3,1,2,8,2,3,3,5,3,1,2,14191.6
2044,HS3637000016,HH13360022,3,2,1,1,6,2,1,99.0,2,1,1,12,2,1,3,1,2,3,3,18037.85
2045,HS3637000017,HH11360088,3,2,1,1,6,2,5,72.6,3,1,2,8,2,1,3,2,3,3,2,16659.05
2046,HS3640000001,HH11360076,3,2,1,1,6,1,6,69.3,4,1,2,8,2,3,3,4,3,3,4,7097.58
2047,HS3640000002,HH11360077,3,2,1,1,6,2,1,56.099999999999994,2,1,1,3,2,1,3,1,2,1,3,10478.25
2048,HS3640000003,HH11360078,3,2,1,1,6,2,1,39.599999999999994,2,1,1,3,2,1,3,2,3,3,1,9357.27
2049,HS3640000004,HH11360079,3,2,1,1,6,4,4,99.0,3,1,1,4,2,1,3,3,3,3,3,10251.8
2050,HS3642000001,HH14360009,3,2,1,1,6,1,1,82.5,3,1,1,5,2,1,3,2,2,3,2,10658.91
2051,HS3642000002,HH11360041,3,2,1,1,6,4,4,95.69999999999999,3,1,2,10,2,1,3,2,3,5,1,10831.39
2052,HS3642000003,HH11360042,3,2,1,1,6,3,1,69.3,3,1,2,10,2,3,3,2,3,3,1,11813.75
2053,HS3642000004,HH11360043,3,2,1,1,6,1,2,75.89999999999999,3,1,1,8,2,3,3,2,3,5,2,10645.3
2054,HS3642000005,HH13360008,3,2,1,1,6,1,2,99.0,3,1,1,12,2,3,3,3,2,3,1,16527.07
2055,HS3642000006,HH11360044,3,2,1,1,6,3,2,79.19999999999999,3,1,2,8,2,1,3,2,3,5,1,7863.71
2056,HS3642000007,HH11360045,3,2,1,1,6,4,1,39.599999999999994,2,1,1,3,4,1,3,1,3,5,1,5789.83
2057,HS3642000008,HH11360046,3,2,1,1,6,1,1,92.39999999999999,3,1,1,10,2,1,3,2,3,5,1,8320.53
2058,HS3642000009,HH11360047,3,2,1,1,6,1,1,59.4,2,1,1,4,2,1,3,2,3,3,1,8309.8
2059,HS3642000010,HH11360048,3,2,1,1,6,4,1,89.1,3,1,2,8,2,3,3,3,2,3,2,10586.92
2060,HS3642000011,HH11360049,3,2,1,1,6,1,4,105.6,4,1,2,5,2,1,3,2,3,5,3,9932.51
2061,HS3642000012,HH11360050,3,2,1,1,6,1,4,112.19999999999999,4,1,1,5,2,3,3,2,3,3,3,15438.1
2062,HS3644000001,HH14360011,3,2,3,1,5,1,3,79.19999999999999,2,1,1,3,2,1,3,1,3,5,1,16317.403333
